timestamp	step	acc
1667094371227	0	0.009102564102564102
1667094371228	1	0.00922077922077922
1667094371228	2	0.009342105263157895
1667094371228	3	0.009466666666666667
1667094371228	4	0.009594594594594594
1667094371228	5	0.009726027397260273
1667094371228	6	0.00986111111111111
1667094371229	7	0.01
1667094371229	8	0.010142857142857143
1667094371229	9	0.010289855072463768
1667094371229	10	0.010441176470588235
1667094371229	11	0.010597014925373134
1667094371230	12	0.010757575757575757
1667094371230	13	0.010923076923076923
1667094371230	14	0.01109375
1667094371230	15	0.01126984126984127
1667094371230	16	0.011451612903225807
1667094371230	17	0.011639344262295081
1667094371230	18	0.011833333333333333
1667094371230	19	0.012033898305084745
1667094371231	20	0.012241379310344826
1667094371231	21	0.012456140350877193
1667094371231	22	0.012678571428571428
1667094371231	23	0.012909090909090908
1667094371231	24	0.013148148148148147
1667094371231	25	0.01339622641509434
1667094371231	26	0.013653846153846154
1667094371231	27	0.01392156862745098
1667094371232	28	0.014199999999999999
1667094371232	29	0.014489795918367345
1667094371232	30	0.014791666666666667
1667094371232	31	0.015106382978723404
1667094371232	32	0.015434782608695652
1667094371232	33	0.015777777777777776
1667094371232	34	0.016136363636363636
1667094371232	35	0.016511627906976745
1667094371233	36	0.016904761904761905
1667094371233	37	0.017317073170731705
1667094371233	38	0.01775
1667094371233	39	0.018205128205128204
1667094371233	40	0.01868421052631579
1667094371233	41	0.019189189189189187
1667094371233	42	0.01972222222222222
1667094371233	43	0.020285714285714285
1667094371234	44	0.02088235294117647
1667094371234	45	0.021515151515151515
1667094371234	46	0.0221875
1667094371234	47	0.022903225806451613
1667094371234	48	0.023666666666666666
1667094371234	49	0.024482758620689653
1667094371234	50	0.025357142857142856
1667094371234	51	0.026296296296296293
1667094371235	52	0.027307692307692307
1667094371235	53	0.028399999999999998
1667094371235	54	0.029583333333333333
1667094371235	55	0.030869565217391304
1667094371235	56	0.03227272727272727
1667094371235	57	0.03380952380952381
1667094371235	58	0.0355
1667094371235	59	0.03736842105263158
1667094371236	60	0.03944444444444444
1667094371236	61	0.04176470588235294
1667094371236	62	0.044375
1667094371236	63	0.04733333333333333
1667094371236	64	0.05071428571428571
1667094371236	65	0.054615384615384614
1667094371236	66	0.059166666666666666
1667094371236	67	0.06454545454545454
1667094371237	68	0.071
1667094371237	69	0.07888888888888888
1667094371237	70	0.08875
1667094371237	71	0.10142857142857142
1667094371237	72	0.11833333333333333
1667094371237	73	0.142
1667094371237	74	0.1775
1667094371237	75	0.23666666666666666
1667094371238	76	0.355
1667094371238	77	0.71
